"sf__Id","sf__Created","Id","IsActive","Available_for_Housing__c","Available_for_Program_Engagement__c","Available_for_Case_Management__c","Available_for_Clinical__c","Available_for_Peer__c"
"0jiVY00000001qlYAA","false","0jiVY00000001qlYAA","false","false","false","false","false","false"
"0jiVY00000001gLYAQ","false","0jiVY00000001gLYAQ","false","false","false","false","false","false"
"0jiVY00000002BSYAY","false","0jiVY00000002BSYAY","false","false","false","false","false","false"
"0jiVY00000002jTYAQ","false","0jiVY00000002jTYAQ","false","false","false","false","false","false"
"0jiVY00000002LlYAI","false","0jiVY00000002LlYAI","false","false","false","false","false","false"
"0jiVY0000000214YAA","false","0jiVY0000000214YAA","false","false","false","false","false","false"
"0jiVY00000001LgYAI","false","0jiVY00000001LgYAI","false","false","false","false","false","false"
"0jiVY00000003HFYAY","false","0jiVY00000003HFYAY","false","false","false","false","false","false"
"0jiVY00000002BYYAY","false","0jiVY00000002BYYAY","false","false","false","false","false","false"
"0jiVY00000002LrYAI","false","0jiVY00000002LrYAI","false","false","false","false","false","false"
"0jiVY00000001qtYAA","false","0jiVY00000001qtYAA","false","false","false","false","false","false"
"0jiVY00000001gTYAQ","false","0jiVY00000001gTYAQ","false","false","false","false","false","false"
"0jiVY00000002BaYAI","false","0jiVY00000002BaYAI","false","false","false","false","false","false"
"0jiVY00000002jdYAA","false","0jiVY00000002jdYAA","false","false","false","false","false","false"
"0jiVY00000002LtYAI","false","0jiVY00000002LtYAI","false","false","false","false","false","false"
"0jiVY000000021CYAQ","false","0jiVY000000021CYAQ","false","false","false","false","false","false"
"0jiVY00000001LoYAI","false","0jiVY00000001LoYAI","false","false","false","false","false","false"
"0jiVY00000001quYAA","false","0jiVY00000001quYAA","false","false","false","false","false","false"
"0jiVY00000001gUYAQ","false","0jiVY00000001gUYAQ","false","false","false","false","false","false"
"0jiVY00000002BbYAI","false","0jiVY00000002BbYAI","false","false","false","false","false","false"
"0jiVY00000002LuYAI","false","0jiVY00000002LuYAI","false","false","false","false","false","false"
"0jiVY000000021DYAQ","false","0jiVY000000021DYAQ","false","false","false","false","false","false"
"0jiVY00000001LpYAI","false","0jiVY00000001LpYAI","false","false","false","false","false","false"
"0jiVY00000001qvYAA","false","0jiVY00000001qvYAA","false","false","false","false","false","false"
